波長,強度
380,-200
381,410
382,130
383,110
384,-390
385,180
386,-620
387,-240
388,-170
389,-80
390,80
391,180
392,-60
393,250
394,430
395,-30
396,-100
397,60
398,80
399,150
400,200
401,10
402,500
403,-410
404,-1040
405,110
406,1020
407,-100
408,-550
409,460
410,-100
411,130
412,-100
413,390
414,220
415,-410
416,130
417,480
418,620
419,110
420,1140
421,640
422,1860
423,1630
424,2000
425,1840
426,3100
427,3480
428,3900
429,4250
430,5070
431,6190
432,7740
433,8370
434,10450
435,10920
436,12460
437,13800
438,17360
439,17750
440,18920
441,22970
442,26060
443,29570
444,31750
445,33600
446,39470
447,42700
448,46730
449,49230
450,54920
451,57780
452,59810
453,60330
454,62620
455,62180
456,60940
457,58100
458,53920
459,49910
460,45720
461,40810
462,38000
463,35710
464,32430
465,31450
466,29570
467,29920
468,27980
469,27160
470,27120
471,26620
472,24850
473,23700
474,23930
475,21620
476,22970
477,21360
478,21120
479,21190
480,21220
481,22080
482,22440
483,23790
484,24280
485,25450
486,25380
487,25380
488,26980
489,29810
490,29200
491,30350
492,32480
493,32430
494,33370
495,34840
496,34750
497,36130
498,37530
499,38440
500,38540
501,40550
502,41250
503,41650
504,41160
505,42770
506,43130
507,44600
508,45370
509,45610
510,47760
511,46070
512,45980
513,46640
514,47170
515,49190
516,48340
517,49770
518,50120
519,50150
520,49260
521,50330
522,51180
523,51040
524,50660
525,52160
526,51460
527,52180
528,51930
529,52300
530,53000
531,53800
532,52750
533,52600
534,55340
535,53240
536,53700
537,52930
538,53380
539,53520
540,52420
541,51530
542,52020
543,50830
544,52140
545,50380
546,51790
547,52180
548,50730
549,52160
550,50590
551,52700
552,51430
553,50550
554,51650
555,50690
556,50590
557,50080
558,50850
559,49840
560,48200
561,49520
562,49120
563,50520
564,48300
565,51500
566,49280
567,49490
568,47060
569,47410
570,47290
571,47390
572,47080
573,47010
574,47600
575,46330
576,44760
577,43990
578,44270
579,43150
580,43730
581,42890
582,42140
583,42820
584,43290
585,40880
586,41110
587,41040
588,40500
589,38680
590,39360
591,39780
592,38730
593,38230
594,37230
595,35890
596,36170
597,37040
598,33690
599,36130
600,36500
601,35240
602,34750
603,33250
604,33320
605,32990
606,31960
607,32620
608,32310
609,30020
610,29830
611,29900
612,30460
613,28850
614,29200
615,27870
616,27630
617,26440
618,26770
619,24590
620,25520
621,24640
622,23770
623,23180
624,22830
625,23020
626,23020
627,21380
628,21290
629,21920
630,20960
631,20800
632,19650
633,19180
634,18880
635,19110
636,18570
637,17010
638,16750
639,18030
640,16160
641,15130
642,15550
643,15760
644,13890
645,14360
646,14060
647,14500
648,12440
649,11810
650,12700
651,12580
652,11650
653,10780
654,10170
655,10520
656,9840
657,9370
658,10830
659,8700
660,8420
661,8060
662,8560
663,8700
664,7550
665,7410
666,6730
667,7570
668,6380
669,7060
670,5770
671,6310
672,5470
673,5930
674,5840
675,5680
676,4790
677,5630
678,4390
679,4370
680,4370
681,3800
682,3870
683,3200
684,3620
685,3590
686,3220
687,2590
688,2960
689,2540
690,2310
691,3150
692,2660
693,3240
694,2840
695,2490
696,2350
697,2070
698,1930
699,1860
700,2030
701,2520
702,1720
703,1420
704,1460
705,480
706,1210
707,1210
708,1020
709,1070
710,1370
711,1140
712,1230
713,970
714,1180
715,1560
716,570
717,970
718,620
719,250
720,640
721,600
722,900
723,1320
724,740
725,880
726,1020
727,460
728,860
729,410
730,480
731,320
732,110
733,-270
734,200
735,320
736,270
737,-390
738,1020
739,80
740,-270
741,220
742,460
743,-80
744,-600
745,60
746,130
747,390
748,-10
749,390
750,320
